Viktor USPASKICH ,Daugiamandatė 
Jolita VAICKIENĖ ,36 Kretingos 
Ona VALIUKEVIČIŪTĖ ,Daugiamandatė 
Egidijus VAREIKIS ,Daugiamandatė 
Jonas VARKALA ,Daugiamandatė 
Valdas VASILIAUSKAS ,Daugiamandatė 
Neringa VENCKIENĖ ,Daugiamandatė 
Birutė VĖSAITĖ ,Daugiamandatė 
Julius VESELKA ,61 Ukmergės 
Arvydas VIDŽIŪNAS ,Daugiamandatė 
Vitalija VONŽUTAITĖ ,Daugiamandatė 
Mečislovas ZASČIURINSKAS ,Daugiamandatė 
Emanuelis ZINGERIS ,Daugiamandatė 
Edvardas ŽAKARIS ,23 Aušros 
Pranas ŽEIMYS ,22 Pajūrio 
Remigijus ŽEMAITAITIS ,33 Šilalės - Šilutės 
Rokas ŽILINSKAS ,Daugiamandatė 
Zita ŽVIKIENĖ ,Daugiamandatė 
